,seed,actions
87,753,"[3, 3, 3, 0, 2, 0, 3, 0, 2, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 3, 1, 2, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 0, 2, 2, 2, 0, 0, 3, 2, 3, 1, 3, 3, 1, 2, 2, 1, 3, 2, 3, 1, 2, 2, 0, 0, 3, 3, 3, 0, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 1, 2, 3, 0, 2, 2, 2, 2, 0, 3, 3, 0, 3, 1, 3, 2, 2, 2, 2, 1, 3, 3, 1, 3, 1, 2, 2, 1, 3, 3, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 2, 0, 3, 0, 3, 3, 1, 2, 3, 1, 2, 3, 0, 2, 0, 3, 0, 2, 2, 2, 2, 1, 3, 1, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 2, 3, 0, 0, 2, 1, 3, 2, 2, 2, 1, 3, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 2, 0, 3, 3, 1, 2, 3, 0, 3, 1, 2, 3, 0, 2, 2, 2, 1, 3, 1, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 0, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 2, 1, 3, 3, 3, 0, 2, 3, 1, 2, 2, 2, 0, 0, 3, 2, 3, 0, 3, 3, 1, 0, 2, 1, 3, 2, 2, 2, 1, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 3, 3, 0, 3, 1, 2, 1, 2, 3, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 3, 0, 2, 0, 3, 3, 1, 2, 3, 0, 2, 2, 2, 1, 3, 3, 1, 2, 1, 2, 0, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 2, 2, 2, 1, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 1, 2, 0, 3, 3, 3, 0, 2, 2, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 3, 1, 3, 1, 3, 1, 2, 2, 2, 0, 0, 3, 3, 0, 3, 1, 2, 3, 0, 2, 2, 0, 3, 3, 0, 2, 2, 2, 2, 1, 1, 3, 2, 3, 1, 3, 3, 0, 2, 3, 3, 1, 2, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 0, 3, 2, 3, 0, 3, 3, 1, 0, 2, 1, 3, 2, 2, 2, 1, 3, 1, 3, 3, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 0, 0, 0, 3, 3, 0, 3, 1, 2, 1, 2, 3, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 0, 2, 1, 3, 3, 3, 0, 2, 3, 1, 2, 2, 1, 3, 3, 1, 2, 2, 2, 0, 3, 3, 3, 0, 2, 2, 0, 3, 0, 2, 2, 2, 0, 3, 3, 3, 3, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 3, 1, 3, 1, 3, 1, 2, 2, 2, 0, 3, 3, 0, 2, 0, 3, 3, 1, 2, 3, 0, 2, 2, 1, 1, 2, 0, 3, 3, 3, 1, 2, 3, 0, 2, 2, 2, 2, 0, 3, 3, 2, 3, 1, 3, 3, 1, 2, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 2, 3, 1, 1, 2, 3, 0, 2, 0, 2, 3, 3, 1, 2, 2, 2, 1, 3, 3, 1, 2, 2, 1, 3, 3, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 2, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 1, 2, 2, 1, 3, 3, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 1, 3, 1, 3, 1, 2, 2, 2, 0, 0, 2, 0, 0, 3, 3, 3, 3, 1, 1, 2, 3, 0, 0, 2, 1, 3, 2, 2, 2, 2, 1, 3, 3, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 2, 2, 0, 3, 3, 3, 1, 2, 3, 0, 3, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 3, 1, 2, 1, 3, 3, 0, 0, 3, 2, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 2, 2, 0, 3, 3, 0, 3, 3, 1, 2, 3, 1, 2, 0, 2, 3, 3, 1, 2, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 0, 3, 2, 3, 1, 3, 3, 1, 2, 2, 2, 0, 2, 0, 0, 3, 3, 3, 3, 1, 0, 2, 1, 3, 2, 2, 2, 2, 1, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 0, 0, 2, 0, 3, 3, 3, 0, 3, 1, 2, 1, 2, 3, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 0, 3, 0, 2, 2, 2, 1, 1, 3, 3, 2, 3, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 3, 1, 2, 1, 3, 3, 0, 2, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 2, 2, 0, 3, 3, 3, 1, 1, 3, 2, 2, 2, 2, 0, 3, 3, 3, 0, 3, 1, 2, 1, 1, 3, 2, 2, 2, 0, 3, 3, 0, 3, 1, 2, 1, 1, 3, 0, 2, 3, 1, 1, 2]"
88,754,"[3, 1, 2, 1, 0, 3, 1, 2, 1, 0, 3, 1, 1]"
89,755,[]
90,756,[]
91,757,"[0, 3, 2, 1, 3, 0, 3, 2, 1, 3, 3, 3, 0, 2]"
92,758,[]
93,759,[]
94,760,"[1, 3, 2, 3, 0, 3, 3, 3, 3, 1, 1, 2, 0, 2, 2, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 2, 2, 1, 3, 3, 3, 3, 0, 2, 2]"
95,761,"[0, 2, 0, 2, 3, 1, 3, 0, 3, 2, 2, 2, 0, 0, 3, 1, 1, 3, 3, 0, 2]"
96,762,[]
97,763,[]
98,764,"[2, 0, 1, 1, 1]"
99,765,"[3, 2, 2, 0, 3, 0, 3, 0, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 1, 1, 2, 3, 0, 2, 2, 2, 0, 3, 0, 3, 2, 3, 1, 3, 1, 2, 2, 2, 0, 0, 0, 3, 3, 3, 3, 1, 2, 2, 3, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 3, 0, 2, 2, 1]"
