,seed,actions
15,681,"[1, 3, 2, 1, 3, 0, 3, 2, 1, 3, 0, 3, 2, 1, 3, 0, 3, 2, 3, 0, 2, 2, 2, 2, 1, 3, 3, 1, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 2, 0, 3, 0, 3, 3, 0, 3, 1, 2, 3, 0, 2, 2, 2, 2, 2, 1, 3, 3, 1, 3, 2, 3, 1, 3, 3, 0, 1, 2, 0, 3, 2, 2, 2, 2, 2, 0, 3, 3, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 2, 2, 1, 3, 3, 3, 3, 0, 2, 3, 1, 2, 2, 2, 2, 0, 3, 0, 3, 2, 3, 1, 3, 3, 1, 2, 2, 2, 2, 0, 2, 0, 3, 0, 3, 3, 3, 1, 2, 3, 0, 3, 1, 2, 3, 0, 2, 2, 2, 2, 2, 1, 3, 3, 3, 1, 2, 2, 1, 3, 3, 3, 0, 0]"
16,682,"[3, 0, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 3, 3]"
17,683,"[1, 3, 2, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 3, 2, 3, 0, 2, 2, 2, 1, 3, 3]"
18,684,"[2, 0, 3, 3, 3]"
19,685,"[3, 2, 1, 3, 1, 1, 1, 2, 2, 2, 2, 2, 0, 0, 3, 0, 3, 3]"
20,686,[]
21,687,[]
22,688,"[2, 3, 1, 2, 3, 2, 0, 0, 2, 2, 1, 3, 2, 2, 2, 1, 3, 3, 1, 3, 0, 3, 2, 2, 2, 2, 0, 3, 3, 0, 3, 3, 1, 2, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 3, 1, 2, 2, 2, 0, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 2, 3, 0, 3, 0, 2, 2, 1, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 1, 2, 3, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 2, 1, 1, 3, 2, 3, 0, 3, 0, 3, 3, 1, 2, 1, 2, 3, 0, 3, 3, 0, 2, 2, 2, 2, 1, 3, 1, 2, 3, 0, 3, 2, 3, 1, 2, 2, 0, 2, 0, 3, 3, 3, 3, 3, 1, 2, 2, 3, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 1, 3, 0, 3, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 2, 2, 2]"
23,689,"[1, 2, 3, 3, 2, 3, 0, 2, 2, 2, 2, 1, 3, 3, 2, 3, 0, 3, 3, 1, 2, 2, 2, 3, 3, 3, 0, 2, 2, 2, 2, 1]"
24,690,[]
25,691,"[3, 1, 0, 3, 3, 1, 2, 3, 2, 1, 1, 3, 1, 2, 2, 0, 2, 0, 3, 0, 3, 1, 2, 3, 0, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 1, 3, 2, 3, 0, 2, 0, 3, 3, 0, 2, 3, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 0, 2, 1, 3, 1, 2, 3, 2, 0, 2, 1, 3, 1, 1, 2, 2, 0, 3, 2, 3, 0, 3, 1, 1, 2, 1, 3]"
26,692,[]
27,693,[]
28,694,"[1, 3, 1, 1]"
29,695,"[0, 3, 2, 3, 1, 3, 3, 2, 2, 0, 3, 2, 3, 1, 3, 3, 2, 3, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 0, 2, 3, 1, 1, 0, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 3, 0, 2, 0, 2, 1, 3, 3, 0, 2, 2, 2, 1, 1, 3]"
30,696,"[3, 2, 2, 2, 2, 0, 0, 3, 2, 3, 1, 3, 3, 2, 3, 1, 2, 2, 2, 0, 3, 0, 3, 2, 3, 1, 3, 1, 3, 0, 0, 2, 3, 3, 0, 0, 2, 1, 1, 2, 2, 3, 2, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 2, 0, 0, 3, 2, 3, 1, 3, 3, 3, 0, 3, 2, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 3, 2, 3, 1, 3, 3, 0, 3, 0, 0, 2, 1, 1, 2, 3, 2, 1, 2, 2, 2, 1, 3, 3, 3, 3, 0, 2, 0, 2, 3, 2, 1, 3, 3, 0, 3, 2, 2, 2, 1, 3, 3, 1, 2, 2, 2, 2, 0, 0, 3, 2, 3, 1, 3, 3, 3, 0, 0, 3, 2, 1, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 3, 2, 3, 1, 3, 3, 0, 3, 0, 0, 0, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 0, 0, 0]"
31,697,"[2, 3, 1, 1, 2, 2, 0, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 3, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 1, 2, 3, 0, 2, 3, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 1, 1, 1]"
32,698,"[3, 1, 2, 3, 0, 2, 2, 1, 1, 3, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 0, 3, 0, 0, 2, 2, 0, 3, 0, 3, 1, 1, 1, 1, 2, 0, 3, 0, 2, 3, 2, 1, 2, 0]"
